GEOID,TractLat,TractLon,OSHPDID_1,HospLat_1,HospLon_1,Dist_1,OSHPDID_2,HospLat_2,HospLon_2,Dist_2,OSHPDID_3,HospLat_3,HospLon_3,Dist_3,duration_0,duration_1,duration_2,duration_in_traffic_0,duration_in_traffic_1,duration_in_traffic_2
6037229200,33.9982715,-118.2608283,106190197,33.98929,-118.22466,0.0372667850389603,106190125,34.03721,-118.26551,0.0392189379909769,106190392,34.05324,-118.26522,0.0551436580319089,708,856,1045,541,595,698
6037229300,33.9979135,-118.2706778,106190125,34.03721,-118.26551,0.0396348466515246,106190197,33.98929,-118.22466,0.0468188281473407,106190392,34.05324,-118.26522,0.0555950463898537,763,847,905,569,647,626
6037229410,33.9922359,-118.2695618,106190197,33.98929,-118.22466,0.0449983329696831,106190125,34.03721,-118.26551,0.0451562482282397,106190392,34.05324,-118.26522,0.0611584127005491,789,746,935,600,526,627
6037229420,33.9925311,-118.2608177,106190197,33.98929,-118.22466,0.0363026720573061,106190125,34.03721,-118.26551,0.0449246233651447,106190392,34.05324,-118.26522,0.0608683068969407,646,880,1069,499,642,743
6037231100,34.0152478,-118.2765579,106190125,34.03721,-118.26551,0.0245844325387035,106190392,34.05324,-118.26522,0.039647890703673,106190762,34.06311,-118.27302,0.0479927799283435,435,735,784,351,501,478
6037231210,34.0145285,-118.2980282,106190125,34.03721,-118.26551,0.039646989463137,106190392,34.05324,-118.26522,0.0507440461482008,106190712,34.06762,-118.28596,0.0544458338487906,735,978,1243,550,658,801
6037231220,34.0145635,-118.2893753,106190125,34.03721,-118.26551,0.0329000988803967,106190392,34.05324,-118.26522,0.045599892218516,106190762,34.06311,-118.27302,0.0512275170229836,732,891,941,549,590,585
6037231300,34.0145164,-118.304538,106190125,34.03721,-118.26551,0.0451462541630998,106190392,34.05324,-118.26522,0.0551853451648162,106190712,34.06762,-118.28596,0.0562595273439056,757,1049,1231,579,713,822
6037231400,34.0145548,-118.3129995,106190125,34.03721,-118.26551,0.0526166389775125,106190712,34.06762,-118.28596,0.0595571155386989,106190392,34.05324,-118.26522,0.0614770308268923,798,1272,1065,609,853,758
6037231500,34.0072777,-118.3108266,106190125,34.03721,-118.26551,0.0543096383605087,106190392,34.05324,-118.26522,0.0647494786453904,106190712,34.06762,-118.28596,0.0652651588893276,885,1111,1359,684,772,938
6037231600,34.0072734,-118.2980319,106190125,34.03721,-118.26551,0.0442026469701694,106190392,34.05324,-118.26522,0.0564760931471884,106190762,34.06311,-118.27302,0.0611826857956538,808,967,1016,614,648,652
6037231710,34.0073136,-118.2893576,106190125,34.03721,-118.26551,0.0382426824205589,106190392,34.05324,-118.26522,0.0518831181668957,106190762,34.06311,-118.27302,0.0581391041100551,733,892,941,568,606,604
6037231720,34.0074463,-118.284071,106190125,34.03721,-118.26551,0.0350768949408281,106190392,34.05324,-118.26522,0.0495219462530535,106190762,34.06311,-118.27302,0.0567500845698956,649,808,857,489,529,513
6037231800,34.0074446,-118.2774651,106190125,34.03721,-118.26551,0.032076524954708,106190392,34.05324,-118.26522,0.0474042311948026,106190197,33.98929,-118.22466,0.0558387686752685,570,781,1003,454,523,683
6037231900,33.9997716,-118.2773419,106190125,34.03721,-118.26551,0.0392635664728728,106190197,33.98929,-118.22466,0.0537144908397139,106190392,34.05324,-118.26522,0.0548252702516815,701,968,847,544,709,579
6037232110,33.9994947,-118.2893178,106190125,34.03721,-118.26551,0.0446010671949693,106190392,34.05324,-118.26522,0.0589004349468714,106190197,33.98929,-118.22466,0.0654581316791952,709,898,1131,512,615,826
6037232120,33.9996748,-118.2839315,106190125,34.03721,-118.26551,0.0418119947059407,106190392,34.05324,-118.26522,0.0567393239586968,106190197,33.98929,-118.22466,0.0601743698204592,636,825,1056,448,554,786
